Item No,Price A,Price Hot
ELLF540DW50H,1414.35,1348.16
ELLF540DW50HE,1485.75,1418.56
ELLF540DW50HE,1485.75,1418.56
ELLF540UC50,1585.00,1532
ELLF540UC50,1585.00,1532
ELLF540UC50H,1585.00,1532
ELLF540UC50H,1585.00,1532
ELLF540UDN50H,1640.00,1587
ELLF540UDN50H,1640.00,1587
ELLF540UM40,1585.00,1532
ELLF540UM50,1585.00,1532
ELLF540UM50,1585.00,1532
ELLF540UM50H,1585.00,1532
ELLF540UM50H,1585.00,1532
ELLF540UN50,1585.00,1532
ELLF540UN50,1585.00,1532
ELLF540UN50H,1585.00,1532
ELLF540UN50H,1585.00,1532
ELLF540UW50,1585.00,1532
ELLF540UW50,1585.00,1532
ELLF540UW50H,1585.00,1532
ELLF540UW50H,1585.00,1532
F2S14ND27,1.35,1.25
F4B10D27,1.75,1.5
F4B10D27/3P/WS,5.80,5.35
F4B10D927/JA8,2.60,2.4
F4BA10D27,2.10,1.95
F4T10DLED927/JA8,3.20,2.95
F7A19DLED27/G3,3.70,3.45
F7G25D27,3.90,3.6
F7ST19DLED927/JA8,5.30,4.5
F8.5A19D927/JA8,4.80,4.45
FF2S14ND27,1.35,1.25
FF4B10D927,2.60,2.4
FLS15U40B/G2,40.00,31
FLS15U40BN/G2,40.00,31
FLS15U50B/G2,40.00,31
FLS15U50BN/G2,40.00,31
FLS15U50BPC/G2,40.00,31
FLS20U40B/G2,45.00,35
FLS20U40BN/G2,45.00,35
