productcode,productname,productprice,saleprice,available
BLHE-162DU50,"MaxLite BayMAX LED Linear High Bays ECO Series, Dimmable, 5000K",129.01,111.25,3
BLHE-223DU50,"MaxLite BayMAX LED Linear High Bays ECO Series, 223 Watt, Dimmable",150,,2
BLHE-321DU50,"MaxLite BayMAX LED Linear High Bays ECO Series, 321 Watt, Dimmable",244.72,218.5,#N/A
BLHT4XT8USE4810,"MaxLite High Bay, Lamp Ready, 4 Tube, 4 Foot",55.86,47.5,#N/A
BLHT6XT8USE4815,"MaxLite High Bay, Lamp Ready, 6 Tube, 4 Foot",69.16,60,#N/A
BLHT8XT8USE4820,"MaxLite High Bay, Lamp Ready, 8 Tube, 4 Foot",83.79,73.75,#N/A
BP35AUT550BPM0,"MaxLite Area Light, Barn Light, 34 Watt",121.03,100,#N/A
BP45AUT550BPM0,"MaxLite Area Light, Barn Light, 45 Watt",127.68,106.25,#N/A
CPL20AU40,"MaxLite Low Profile Canopy, 20 Watt, Dimmable, 4000K",83.79,,#N/A
CPL20AU50,"MaxLite Low Profile Canopy, 20 Watt, Dimmable, 5000K",83.79,,#N/A
CPL30AU40,"MaxLite Low Profile Canopy, 30 Watt, Dimmable, 4000K",97.09,,#N/A
CPL30AU50,"MaxLite Low Profile Canopy, 30 Watt, Dimmable, 5000K",97.09,,#N/A
CPL40AU40,"MaxLite Low Profile Canopy, 40 Watt, Dimmable, 4000K",109.06,,#N/A
CPL40AU50,"MaxLite Low Profile Canopy, 40 Watt, Dimmable, 5000K",109.06,,#N/A
CPL58AU40,"MaxLite Low Profile Canopy, 53 Watt, Dimmable, 4000K",148.96,133,#N/A
CPL58AU50,"MaxLite Low Profile Canopy, 53 Watt, Dimmable, 5000K",148.96,133,#N/A
DL409827WH,"MaxLite Disc Light, 4 Inches, 9 Watts, 2700K",9.38,,#N/A
DL409830WH,"MaxLite Disc Light, 4 Inches, 9 Watts, 3000K",9.38,,#N/A
DL409840WH,"MaxLite Disc Light, 4 Inches, 9 Watts, 4000K",9.38,,#N/A
DL615827WH,"MaxLite Disc Light, 6 Inches, 15 Watts, 2700K",10.63,,#N/A
DL615830WH,"MaxLite Disc Light, 6 Inches, 15 Watts, 3000K",10.63,,#N/A
DL615840WH,"MaxLite Disc Light, 6 Inches, 15 Watts, 4000K",10.63,,#N/A
DR1L,"MaxLite Driver for 1 Tube, 22 Watt Max",8.98,5.13,#N/A
DR2L,"MaxLite Driver for 2 Tubes, 44 Watt Max",18.62,10.88,#N/A
DR3L,"MaxLite Driver for 3 Tube, 66 Watt Max",26.6,15.68,#N/A
DSL18T8SE465,"MaxLite, LED Double-Sided T8 Linear Lamps, 4 Foot(G13 Pin Base) for 2 Sided Outdoor Signs, with R17D Adapter",20.54,,2346
DSL24T8SE565,"MaxLite LED Double-Sided T8 Linear Lamps, 5 Foot(G13 Base) for 2 Sided Outdoor Signs, with R17D Adapter",24.71,,3057
DSL30T8SE665,"MaxLite, LED Double-Sided T8 Linear Lamps, 6 Foot(G13 Base) for 2 Sided Outdoor Signs, with R17D Adapter",33.75,,2321
DSL36T8SE865,"MaxLite, LED Double-Sided T8 Linear Lamps, 8 Foot(G13 Base) for 2 Sided Outdoor Signs, with R17D Adapter",43.75,,113
E11A19DLED27-G6,"Maxlite A19 Bulb, Enclosed Rated, 2700K, Replaces 75 Watt, Dimmable, Generation 6",2.63,,#N/A
E11A19DLED30-G6,"Maxlite A19 Bulb, Enclosed Rated, 3000K, Replaces 75 Watt, Dimmable, Generation 6",2.63,,#N/A
E11A19GUDLED27-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 2700K, Dimmable, Replaces 75 Watt, Generation 6",2.88,,#N/A
E11A19GUDLED30-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 3000K, Dimmable, Replaces 75 Watt, Generation 6",2.88,,#N/A
E11A19GUDLED40-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 4000K, Dimmable, Replaces 75 Watt, Generation 6",2.88,,#N/A
E12A19DLED927-JA8,"Maxlite LED Omni-Directional JA8 Certified, Enclosed Rated, 12 Watt, Replaces 75 Watt, Dimmable",3.44,,#N/A
E15A19DLED27-G6,"Maxlite A19 Bulb, Enclosed Rated, 2700K, Replaces 100 Watt, Dimmable, Generation 6",3.38,,#N/A
E15A19DLED30-G6,"Maxlite A19 Bulb, Enclosed Rated, 3000K, Replaces 100 Watt, Dimmable, Generation 6",3.38,,#N/A
E15A19DLED40-G6,"Maxlite A19 Bulb, Enclosed Rated, 4000K, Replaces 100 Watt, Dimmable, Generation 6",3.38,,#N/A
E15A19GUDLED27-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 2700K, Dimmable, Replaces 100 Watt, Generation 6",3.63,,#N/A
E15A19GUDLED30-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 3000K, Dimmable, Replaces 100 Watt, Generation 6",3.63,,#N/A
E15A19GUDLED40-G6,"Maxlite A19 Bulb, Enclosed Rated, GU24 Base, 4000K, Dimmable, Replaces 100 Watt, Generation 6",3.63,,#N/A
E17A21D927-JA8,"Maxlite LED Omni-Directional JA8 Certified, Enclosed Rated, 17 Watt, Dimmable, Replaces 100 Watt, 2700K",7.31,,#N/A
E17A21D930-JA8,"Maxlite LED Omni-Directional JA8 Certified, Enclosed Rated, 17 Watt, Dimmable, Replaces 100 Watt, 3000K",6.69,,#N/A
E6A19DLED27-G6,"Maxlite LED Omni-Directional, Enclosed Rated, 6 Watt, Dimmable, Replaces 40 Watt, Gen. 6, 2700K",1.75,,#N/A
E6A19DLED30-G6,"Maxlite LED Omni-Directional, Enclosed Rated, 6 Watt, Dimmable, Replaces 40 Watt, Gen. 6, 3000K",1.75,,#N/A
E6A19DLED40-G6,"Maxlite LED Omni-Directional, Enclosed Rated, 6 Watt, Dimmable, Replaces 40 Watt, Gen. 6, 4000K",1.75,,#N/A
E6A19DLED927-JA8,"Maxlite LED Omni-Directional JA8 Certified, Enclosed Rated, 6 Watt, Replaces 40 Watt",2.64,,#N/A
E6A19GUDLED30-G6,"Maxlite LED Omni-Directional, Enclosed Rated, GU24 Base 6 Watt, Replaces 40 Watt, Gen. 6, 3000K",2,,#N/A
E6A19GUDLED40-G6,"Maxlite LED Omni-Directional, Enclosed Rated, GU24 Base 6 Watt, Replaces 40 Watt, Gen. 6, 4000K",2,,#N/A
E9A19DLED27-G6,"Maxlite A19 Bulb, 9 Watt, 2700K, Dimmable, Enclosed Rated, Replaces 60 Watt",2,,#N/A
E9A19DLED30-G6,"Maxlite A19 Bulb, 9 Watt, 3000K, Dimmable, Enclosed Rated, Replaces 60 Watt",2,,#N/A
E9A19DLED40-G6,"Maxlite A19 Bulb, 9 Watt, 4000K, Dimmable, Enclosed Rated, Replaces 60 Watt",2,,#N/A
E9A19DLED50-G6,"Maxlite A19 Bulb, 9 Watt, 5000K, Dimmable, Enclosed Rated, Replaces 60 Watt",2.33,2,#N/A
E9A19GUDLED27-G6,"Maxlite A19 Bulb, GU24 Base, Replaces 60 Watt, 2700K",2.25,,#N/A
E9A19GUDLED30-G6,"Maxlite A19 Bulb, GU24 Base, Replaces 60 Watt, 3000K",2.25,,#N/A
E9A19GUDLED40-G6,"Maxlite A19 Bulb, GU24 Base, Replaces 60 Watt, 4000K",2.25,,#N/A
E9A19ND27-G3,"Maxlite A19 Bulb, 9 Watt, E26 Base, Non-Dimmable, Enclosed Rated, Replaces 60 Watt, 2700K",1.93,1.69,#N/A
E9A19ND30-G3,"Maxlite A19 Bulb, 9 Watt, E26 Base, Non-Dimmable, Enclosed Rated, Replaces 60 Watt, 3000K",1.93,1.69,#N/A
ELLF1804,"MaxLite Flood Light, High Output, 180 Watt, 347-480V",808.57,690.8,#N/A
ELLF270U,"MaxLite Flood Light for Hazardous Locations, High Output, 270 Watt",2150.61,1822.5,#N/A
F4B10DLED927-JA8,"Maxlite LED Filament Lamp, JA8 Certified, Candelabra, Glass, 40 Watt Equivalent",3,,#N/A
F7A19DLED27-G2,"Maxlite LED Filament Lamp, A19, 7 Watt, Dimmable",4.31,,#N/A
F8.5A19D927-JA8,"Maxlite LED Filament Lamp, JA8 Certified, Candelabra, Glass, 60 Watt Equivalent",6.38,5.56,#N/A
FLS15U40B-G2,"MaxLite Flood Light, 14 Watt, 4000K",53.2,38.75,#N/A
FLS15U50B-G2,"MaxLite Flood Light, 14 Watt, 5000K",53.2,38.75,#N/A
FLS20U40B-G2,"MaxLite Flood Light, 18 Watt, 4000K",59.85,43.75,#N/A
FLS20U50B-G2,"MaxLite Flood Light, 18 Watt, 5000K",59.85,43.75,#N/A
FLS50U40B-G2,"MaxLite Flood Light, 49 Watt, 4000K",86.25,,#N/A
FLS50U50B-G2,"MaxLite Flood Light, 49 Watt, 5000K",166.25,145,#N/A
FRK10X3-930-V2,"MaxLite Flush Mount Retrofit Kit, 10W, 3"", DIA, 90 CRI",10.94,,#N/A
FRK17X4-930-V2,"MaxLite Flush Mount Retrofit Kit, 17W, 4"", DIA, 90 CRI, 3000K",12.81,,#N/A
FRK17X4-940-V3,"MaxLite Flush Mount Retrofit Kit, 17W, 4"", DIA, 90 CRI, 3000K",14.96,12.81,#N/A
FRK23X5.5-930-V2,"MaxLite Flush Mount Retrofit Kit, 23W, 5.5"", DIA, 90 CRI, 3000K",17.81,,#N/A
